Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60842,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,64,21,177,11,46.1,EIF4A1,2.30E+07,2.44E+07,4.30E+07,5.48E+07,8.53E+05,5.00E+06,1.76E+07,1.20E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35637,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,17,9,153,7,53.4,FUS,2.77E+07,4.81E+07,7.84E+07,1.05E+08,1.07E+06,4.92E+06,1.95E+07,6.24E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q05682,Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3,41,38,242,38,93.2,CALD1,7.40E+07,5.73E+07,1.86E+08,2.05E+08,2.33E+06,4.82E+06,1.23E+07,2.89E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06396,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,43,28,157,28,85.6,GSN,2.31E+07,2.43E+07,8.06E+07,1.11E+08,1.10E+05,4.81E+06,1.52E+07,4.07E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3,41,11,48,5,37.3,GNB2,2.60E+07,1.10E+07,2.25E+07,3.05E+07,1.79E+06,4.72E+06,6.06E+06,4.46E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13045,Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2,47,47,327,47,144.7,FLII,3.72E+07,5.59E+07,1.19E+08,1.47E+08,1.80E+05,4.68E+06,2.04E+07,3.36E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,46,30,187,19,83.2,HSP90AB1,1.90E+07,1.21E+07,4.26E+07,6.73E+07,1.50E+06,4.68E+06,1.52E+07,1.02E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BY77,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,50,15,124,15,46.1,POLDIP3,1.39E+07,1.43E+07,1.77E+07,2.99E+07,4.48E+06,4.64E+06,1.65E+07,8.34E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",43,23,92,23,82.9,HADHA,1.18E+07,1.23E+07,2.79E+07,2.92E+07,1.02E+07,4.54E+06,9.04E+06,6.96E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62269,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,50,12,98,12,17.7,RPS18,1.85E+07,2.65E+07,3.86E+07,6.52E+07,3.62E+06,4.47E+06,9.74E+06,5.16E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T7N2,LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1,54,55,383,55,98.8,L1TD1,1.59E+08,1.25E+08,1.49E+08,1.89E+08,1.26E+06,4.43E+06,2.05E+07,2.93E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P36578,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,50,24,305,24,47.7,RPL4,1.59E+08,1.76E+08,3.22E+08,4.19E+08,3.06E+05,4.38E+06,3.19E+07,8.55E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14103,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,38,18,115,16,38.4,HNRNPD,4.05E+07,4.67E+07,8.62E+07,1.47E+08,5.46E+05,4.35E+06,1.31E+07,4.47E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BR76,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,41,18,206,18,54.2,CORO1B,9.41E+07,6.45E+07,1.42E+08,1.40E+08,3.10E+04,4.31E+06,1.74E+07,2.96E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=2",45,17,78,17,57.2,ALDH5A1,9.87E+06,4.46E+05,1.75E+06,4.13E+05,9.19E+06,4.31E+06,4.84E+06,6.36E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00159,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,46,45,268,45,121.6,MYO1C,5.84E+07,3.59E+07,8.99E+07,1.01E+08,2.12E+05,4.27E+06,1.57E+07,3.07E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,49,86,483,86,244.4,SNRNP200,5.00E+07,7.03E+07,1.51E+08,1.87E+08,5.70E+05,4.24E+06,1.81E+07,6.01E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15029,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,57,43,295,42,109.4,EFTUD2,3.74E+07,4.74E+07,1.03E+08,1.52E+08,8.79E+05,4.23E+06,1.26E+07,5.11E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5TEC6,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,32,6,76,1,15.4,H3-7,7.68E+06,1.17E+07,2.53E+07,4.25E+07,6.67E+04,4.20E+06,2.60E+07,1.66E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01081,Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3,36,6,17,6,27.9,U2AF1,4.06E+06,5.83E+06,9.02E+06,9.62E+06,6.07E+06,4.16E+06,4.54E+06,3.07E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61247,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,66,22,204,22,29.9,RPS3A,4.54E+07,5.97E+07,8.55E+07,1.42E+08,7.52E+05,4.15E+06,1.14E+07,4.49E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,44,42,229,27,121.8,SMARCA5,3.98E+07,5.47E+07,9.54E+07,1.18E+08,5.31E+05,4.15E+06,1.97E+07,4.43E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,55,34,249,33,73.2,DDX3X,3.14E+07,4.57E+07,1.01E+08,1.41E+08,1.20E+06,4.14E+06,1.38E+07,6.54E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78347,General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2,41,35,206,35,112.3,GTF2I,1.78E+07,2.57E+07,4.72E+07,6.20E+07,1.07E+06,4.10E+06,1.18E+07,6.70E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2,50,27,194,25,63.4,IGF2BP1,3.13E+07,4.15E+07,7.37E+07,1.13E+08,5.83E+05,4.09E+06,1.37E+07,7.73E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,60,23,197,21,46.8,EIF4A3,2.63E+07,4.56E+07,9.25E+07,1.11E+08,3.48E+05,4.04E+06,1.58E+07,6.70E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",58,28,178,28,61,HSPD1,1.23E+07,9.20E+06,3.41E+07,4.45E+07,1.18E+06,3.91E+06,1.33E+07,1.28E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,53,108,529,108,273.4,PRPF8,4.17E+07,7.34E+07,1.71E+08,2.23E+08,8.18E+05,3.88E+06,1.61E+07,5.89E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P43243,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,45,34,330,34,94.6,MATR3,5.74E+07,8.61E+07,1.57E+08,2.27E+08,9.28E+05,3.85E+06,1.61E+07,6.82E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P38159,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",54,24,240,9,42.3,RBMX,5.56E+07,7.21E+07,1.60E+08,2.11E+08,8.73E+05,3.77E+06,2.34E+07,5.33E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14866,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,43,20,162,19,64.1,HNRNPL,3.03E+07,4.59E+07,7.87E+07,1.33E+08,8.03E+05,3.72E+06,1.06E+07,5.77E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61158,Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3,60,18,119,14,47.3,ACTR3,2.23E+07,1.86E+07,3.25E+07,2.68E+07,2.59E+06,3.64E+06,1.31E+07,5.24E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62424,60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,55,19,182,19,30,RPL7A,5.16E+07,7.10E+07,1.17E+08,1.67E+08,1.47E+05,3.55E+06,1.35E+07,4.32E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y5B9,FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,53,54,324,54,119.8,SUPT16H,4.69E+07,6.47E+07,1.33E+08,2.10E+08,3.56E+05,3.46E+06,2.54E+07,3.56E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,47,37,345,28,80.2,DDX17,4.44E+07,7.31E+07,1.14E+08,1.42E+08,8.40E+05,3.45E+06,1.67E+07,4.91E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,67,27,484,1,49.9,TUBB2A,1.15E+07,1.78E+07,7.00E+07,1.03E+08,6.98E+05,3.44E+06,1.42E+07,1.05E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,34,24,173,24,88.5,TRIM28,1.70E+07,2.80E+07,5.56E+07,7.83E+07,5.47E+05,3.41E+06,1.01E+07,5.01E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19105,Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2,84,13,163,6,19.8,MYL12A,2.89E+07,4.45E+07,1.01E+08,1.70E+08,4.10E+05,3.36E+06,2.19E+07,3.62E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99623,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,55,14,82,14,33.3,PHB2,4.18E+06,1.33E+06,1.64E+07,4.29E+07,4.23E+05,3.34E+06,7.12E+06,2.71E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31943,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,46,15,228,7,49.2,HNRNPH1,4.21E+07,6.27E+07,1.25E+08,1.88E+08,1.20E+06,3.31E+06,1.19E+07,6.59E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75475,PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,38,20,176,19,60.1,PSIP1,2.86E+07,3.61E+07,9.35E+07,1.03E+08,2.70E+05,3.30E+06,1.88E+07,2.02E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,46,25,147,25,79.6,HSD17B4,1.11E+07,1.07E+07,3.36E+07,4.32E+07,6.14E+05,3.29E+06,1.78E+07,6.74E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02880,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,38,57,335,42,183.2,TOP2B,3.48E+07,2.22E+07,5.01E+07,6.61E+07,1.33E+05,3.26E+06,2.66E+07,3.34E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,58,19,215,3,37.5,PPP1CA,3.68E+07,4.14E+07,7.98E+07,1.14E+08,6.42E+04,3.24E+06,1.87E+07,3.56E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62917,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,50,15,124,15,28,RPL8,3.57E+07,6.33E+07,1.02E+08,1.32E+08,5.15E+05,3.19E+06,8.16E+06,3.61E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,41,36,216,36,135.5,SF3B3,2.09E+07,3.32E+07,8.01E+07,1.02E+08,1.42E+06,3.19E+06,9.42E+06,3.43E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02878,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,52,19,161,19,32.7,RPL6,5.62E+07,9.25E+07,2.03E+08,2.24E+08,1.07E+05,3.16E+06,1.03E+07,2.82E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NHJ6,Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens OX=9606 GN=LILRB4 PE=1 SV=3,2,1,12,1,49.3,LILRB4,5.13E+06,2.96E+06,3.75E+06,4.46E+06,4.91E+06,3.15E+06,2.07E+06,1.93E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14690,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,37,53,253,53,208.6,PDCD11,5.46E+07,4.26E+07,7.42E+07,4.72E+07,3.77E+05,3.13E+06,1.34E+07,4.72E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2,13,12,898,3,121.4,POTEF,1.50E+08,1.23E+08,3.15E+08,4.40E+08,1.08E+05,3.12E+06,1.81E+07,2.14E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05388,60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,42,15,159,15,34.3,RPLP0,3.64E+07,3.76E+07,7.34E+07,1.14E+08,2.34E+05,3.03E+06,8.79E+06,4.38E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1,59,14,82,14,34.3,ARPC2,1.47E+07,1.64E+07,2.61E+07,2.00E+07,3.68E+04,3.00E+06,9.63E+06,3.08E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15880,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,55,15,162,15,31.3,RPS2,4.35E+07,6.82E+07,1.14E+08,1.25E+08,2.32E+05,2.92E+06,1.29E+07,5.25E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P32969,60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9P9 PE=1 SV=1,58,9,99,9,21.9,RPL9; RPL9P7; RPL9P8; RPL9P9,3.24E+07,3.46E+07,6.42E+07,7.55E+07,4.12E+05,2.91E+06,8.77E+06,4.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,55,12,85,12,23.7,PPIB,8.84E+06,1.48E+07,3.94E+07,5.07E+07,1.01E+05,2.88E+06,1.89E+07,2.70E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26373,60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,39,10,84,10,24.2,RPL13,3.23E+07,4.01E+07,7.21E+07,1.02E+08,1.40E+06,2.84E+06,9.51E+06,3.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11387,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,42,33,184,28,90.7,TOP1,2.79E+07,3.19E+07,6.62E+07,9.64E+07,4.12E+05,2.84E+06,2.56E+07,2.48E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0CG39,POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1,12,10,865,2,117.3,POTEJ,4.90E+07,4.94E+07,1.39E+08,6.55E+07,2.11E+06,2.80E+06,1.53E+07,4.30E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P18124,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,53,18,171,18,29.2,RPL7,5.49E+07,8.80E+07,1.74E+08,1.80E+08,1.83E+05,2.78E+06,1.25E+07,4.69E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62277,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,54,10,109,10,17.2,RPS13,3.49E+07,4.32E+07,8.16E+07,9.72E+07,8.27E+05,2.78E+06,1.05E+07,5.73E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",54,35,352,4,60,KRT6A,2.92E+06,2.21E+07,2.60E+07,1.26E+07,3.26E+06,2.77E+06,2.43E+06,5.14E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62906,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,47,12,112,12,24.8,RPL10A,2.60E+07,3.37E+07,7.03E+07,8.94E+07,8.17E+04,2.77E+06,8.79E+06,4.04E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UMS4,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,43,17,139,17,55.1,PRPF19,2.26E+07,2.95E+07,7.53E+07,1.38E+08,1.08E+06,2.76E+06,9.33E+06,3.47E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2D5,A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,41,24,120,24,94.6,,1.35E+07,1.92E+07,2.75E+07,1.70E+07,7.58E+04,2.68E+06,5.48E+06,5.92E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14974,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,39,43,237,43,115.2,PPP1R12A,2.37E+07,3.47E+07,8.06E+07,9.31E+07,1.75E+05,2.66E+06,1.52E+07,2.24E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,57,28,176,28,68.5,RPN1,1.75E+07,1.63E+07,6.17E+07,1.23E+08,7.87E+05,2.66E+06,1.07E+07,3.80E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62266,40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3,49,7,89,7,15.8,RPS23,1.57E+07,2.22E+07,4.18E+07,5.79E+07,2.56E+06,2.60E+06,6.44E+06,3.52E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08945,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,44,30,274,30,81,SSRP1,4.81E+07,5.78E+07,1.33E+08,1.90E+08,7.58E+04,2.55E+06,2.50E+07,2.92E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02543,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,52,12,94,12,20.7,RPL18A,2.30E+07,3.80E+07,5.57E+07,8.94E+07,9.28E+04,2.54E+06,6.83E+06,2.93E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75083,WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4,59,25,143,25,66.2,WDR1,1.98E+07,2.26E+07,5.60E+07,5.04E+07,1.82E+05,2.53E+06,1.27E+07,2.40E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,53,39,197,38,95.3,EEF2,1.55E+07,1.13E+07,4.02E+07,5.03E+07,2.45E+05,2.49E+06,9.74E+06,7.43E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50454,Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2,50,15,73,15,46.4,SERPINH1,1.21E+07,5.75E+06,2.15E+07,2.27E+07,4.87E+05,2.47E+06,8.74E+06,3.97E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11940,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,33,16,88,10,70.6,PABPC1,7.49E+06,1.15E+07,2.90E+07,3.36E+07,1.22E+06,2.46E+06,5.65E+06,2.64E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13838,Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,49,21,182,12,49,DDX39B,4.98E+07,6.92E+07,1.57E+08,1.88E+08,5.82E+05,2.44E+06,1.24E+07,5.47E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16658,Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,59,25,143,25,54.5,FSCN1,3.47E+07,9.87E+06,7.94E+07,4.24E+07,2.23E+05,2.44E+06,1.31E+07,5.93E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O94832,Unconventional myosin-Id OS=Homo sapiens OX=9606 GN=MYO1D PE=1 SV=2,56,51,223,51,116.1,MYO1D,3.11E+07,2.67E+07,6.77E+07,8.42E+07,9.14E+05,2.44E+06,1.02E+07,1.85E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61353,60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,51,7,74,7,15.8,RPL27,1.82E+07,3.45E+07,7.47E+07,7.29E+07,2.56E+05,2.42E+06,1.14E+07,3.15E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,36,29,210,25,95.3,ILF3,1.79E+07,3.39E+07,6.09E+07,8.65E+07,6.83E+05,2.39E+06,8.89E+06,2.60E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",32,13,91,12,48.2,KHDRBS1,1.82E+07,3.38E+07,5.38E+07,8.73E+07,1.17E+05,2.38E+06,7.67E+06,2.81E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62244,40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2,70,9,69,9,14.8,RPS15A,1.96E+07,2.99E+07,5.09E+07,6.52E+07,3.99E+05,2.35E+06,7.91E+06,4.42E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z406,Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2,51,89,520,74,227.7,MYH14,3.93E+07,3.28E+07,1.15E+08,1.11E+08,6.76E+04,2.35E+06,6.83E+06,5.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
